                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2013 University of Southern California                    

                                   CYCLOMATIC COMPLEXITY RESULTS                                   
                              Generated by UCC v.2014.08f on 12 1 2015                              
ucc.exe -dir d:\Development\GitHub\Breakout\source\ -extfile JavaScript -outdir d:\Metriken\count_out_6\

                                          RESULTS BY FILE                                          

Cyclomatic Complexity
Total(CC1),Total(CC2),Total(CC3),Average(CC1),Risk,File Name
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
6,9,6,Low,Phaser.Line.intersectsPoints,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Phaser.Line.intersects,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Phaser.Line.reflect,d:\Development\GitHub\Breakout\source\\phaser.js
1,7,1,Low,Phaser.Matrix,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
2,3,2,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
3,3,3,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,3,1,Low,Phaser.Point,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
2,4,2,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
2,4,2,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
2,3,2,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,2,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
3,3,3,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,2,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,Phaser.Point.add,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,Phaser.Point.subtract,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,Phaser.Point.multiply,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,Phaser.Point.divide,d:\Development\GitHub\Breakout\source\\phaser.js
1,2,1,Low,Phaser.Point.equals,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Phaser.Point.angle,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,Phaser.Point.negative,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,Phaser.Point.multiplyAdd,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,Phaser.Point.interpolate,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,Phaser.Point.perp,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,Phaser.Point.rperp,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,Phaser.Point.distance,d:\Development\GitHub\Breakout\source\\phaser.js
3,3,3,Low,Phaser.Point.project,d:\Development\GitHub\Breakout\source\\phaser.js
3,3,3,Low,Phaser.Point.projectUnit,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,Phaser.Point.normalRightHand,d:\Development\GitHub\Breakout\source\\phaser.js
3,3,3,Low,Phaser.Point.normalize,d:\Development\GitHub\Breakout\source\\phaser.js
3,3,3,Low,Phaser.Point.rotate,d:\Development\GitHub\Breakout\source\\phaser.js
6,6,6,Low,Phaser.Point.centroid,d:\Development\GitHub\Breakout\source\\phaser.js
3,5,3,Low,Phaser.Point.parse,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,Phaser.Polygon,d:\Development\GitHub\Breakout\source\\phaser.js
3,3,3,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
2,3,2,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
3,7,3,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
6,6,6,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
3,3,3,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,5,1,Low,Phaser.Rectangle,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,2,1,Low,Phaser.Rectangle.inflate,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Phaser.Rectangle.inflatePoint,d:\Development\GitHub\Breakout\source\\phaser.js
2,3,2,Low,Phaser.Rectangle.size,d:\Development\GitHub\Breakout\source\\phaser.js
2,3,2,Low,Phaser.Rectangle.clone,d:\Development\GitHub\Breakout\source\\phaser.js
2,6,2,Low,Phaser.Rectangle.contains,d:\Development\GitHub\Breakout\source\\phaser.js
1,4,1,Low,Phaser.Rectangle.containsRaw,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Phaser.Rectangle.containsPoint,d:\Development\GitHub\Breakout\source\\phaser.js
2,5,2,Low,Phaser.Rectangle.containsRect,d:\Development\GitHub\Breakout\source\\phaser.js
1,4,1,Low,Phaser.Rectangle.equals,d:\Development\GitHub\Breakout\source\\phaser.js
1,2,1,Low,Phaser.Rectangle.sameDimensions,d:\Development\GitHub\Breakout\source\\phaser.js
3,3,3,Low,Phaser.Rectangle.intersection,d:\Development\GitHub\Breakout\source\\phaser.js
2,8,2,Low,Phaser.Rectangle.intersects,d:\Development\GitHub\Breakout\source\\phaser.js
2,5,2,Low,Phaser.Rectangle.intersectsRaw,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,Phaser.Rectangle.union,d:\Development\GitHub\Breakout\source\\phaser.js
3,3,3,Low,Phaser.Rectangle.aabb,d:\Development\GitHub\Breakout\source\\phaser.js
5,6,5,Low,Phaser.RoundedRectangle,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
4,7,4,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Phaser.Camera,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
6,6,3,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
4,4,4,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
7,7,7,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
5,5,5,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
4,4,4,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Phaser.Create,d:\Development\GitHub\Breakout\source\\phaser.js
6,7,6,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
3,3,3,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,Phaser.State,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
2,3,2,Low,Phaser.StateManager,d:\Development\GitHub\Breakout\source\\phaser.js
2,3,2,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
7,7,7,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
5,5,5,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
4,4,4,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
5,7,5,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
6,6,6,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
4,7,4,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
3,16,3,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
2,3,2,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
2,3,2,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
2,3,2,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
4,4,4,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
4,4,4,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
2,3,2,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
5,5,5,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Phaser.Signal,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
6,7,6,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
3,4,3,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
5,6,5,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
3,3,3,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
3,3,3,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
7,7,7,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
5,8,5,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
5,7,5,Low,Phaser.SignalBinding,d:\Development\GitHub\Breakout\source\\phaser.js
5,6,5,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,2,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
3,4,3,Low,Phaser.Filter,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
3,4,3,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,Phaser.Plugin,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Phaser.PluginManager,d:\Development\GitHub\Breakout\source\\phaser.js
11,14,11,Medium,,d:\Development\GitHub\Breakout\source\\phaser.js
3,3,3,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
3,4,3,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
3,4,3,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
3,4,3,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
3,4,3,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
3,4,3,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,Phaser.Stage,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,Phaser.Stage.prototype.parseConfig,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Phaser.Stage.prototype.boot,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,Phaser.Stage.prototype.preUpdate,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,Phaser.Stage.prototype.update,d:\Development\GitHub\Breakout\source\\phaser.js
5,5,5,Low,Phaser.Stage.prototype.postUpdate,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,Phaser.Stage.prototype.updateTransform,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Phaser.Stage.prototype.checkVisibility,d:\Development\GitHub\Breakout\source\\phaser.js
12,21,12,Medium,Phaser.Stage.prototype.visibilityChange,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Phaser.Stage.prototype.setBackgroundColor,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,Phaser.Stage.prototype.destroy,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
7,8,7,Low,Phaser.Group,d:\Development\GitHub\Breakout\source\\phaser.js
6,8,6,Low,Phaser.Group.prototype.add,d:\Development\GitHub\Breakout\source\\phaser.js
3,3,3,Low,Phaser.Group.prototype.addToHash,d:\Development\GitHub\Breakout\source\\phaser.js
3,3,3,Low,Phaser.Group.prototype.removeFromHash,d:\Development\GitHub\Breakout\source\\phaser.js
4,4,4,Low,Phaser.Group.prototype.addMultiple,d:\Development\GitHub\Breakout\source\\phaser.js
7,9,7,Low,Phaser.Group.prototype.addAt,d:\Development\GitHub\Breakout\source\\phaser.js
2,3,2,Low,Phaser.Group.prototype.getAt,d:\Development\GitHub\Breakout\source\\phaser.js
5,5,5,Low,Phaser.Group.prototype.create,d:\Development\GitHub\Breakout\source\\phaser.js
3,3,3,Low,Phaser.Group.prototype.createMultiple,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,Phaser.Group.prototype.updateZ,d:\Development\GitHub\Breakout\source\\phaser.js
4,4,4,Low,Phaser.Group.prototype.resetCursor,d:\Development\GitHub\Breakout\source\\phaser.js
3,3,3,Low,Phaser.Group.prototype.next,d:\Development\GitHub\Breakout\source\\phaser.js
3,3,3,Low,Phaser.Group.prototype.previous,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Phaser.Group.prototype.swap,d:\Development\GitHub\Breakout\source\\phaser.js
2,3,2,Low,Phaser.Group.prototype.bringToTop,d:\Development\GitHub\Breakout\source\\phaser.js
2,3,2,Low,Phaser.Group.prototype.sendToBack,d:\Development\GitHub\Breakout\source\\phaser.js
3,4,3,Low,Phaser.Group.prototype.moveUp,d:\Development\GitHub\Breakout\source\\phaser.js
3,4,3,Low,Phaser.Group.prototype.moveDown,d:\Development\GitHub\Breakout\source\\phaser.js
2,3,2,Low,Phaser.Group.prototype.xy,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Phaser.Group.prototype.reverse,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Phaser.Group.prototype.getIndex,d:\Development\GitHub\Breakout\source\\phaser.js
4,4,4,Low,Phaser.Group.prototype.replace,d:\Development\GitHub\Breakout\source\\phaser.js
5,15,5,Low,Phaser.Group.prototype.hasProperty,d:\Development\GitHub\Breakout\source\\phaser.js
27,30,27,High,Phaser.Group.prototype.setProperty,d:\Development\GitHub\Breakout\source\\phaser.js
4,5,4,Low,Phaser.Group.prototype.checkProperty,d:\Development\GitHub\Breakout\source\\phaser.js
5,10,5,Low,Phaser.Group.prototype.set,d:\Development\GitHub\Breakout\source\\phaser.js
6,12,6,Low,Phaser.Group.prototype.setAll,d:\Development\GitHub\Breakout\source\\phaser.js
7,13,7,Low,Phaser.Group.prototype.setAllChildren,d:\Development\GitHub\Breakout\source\\phaser.js
7,12,7,Low,Phaser.Group.prototype.checkAll,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Phaser.Group.prototype.addAll,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Phaser.Group.prototype.subAll,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Phaser.Group.prototype.multiplyAll,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Phaser.Group.prototype.divideAll,d:\Development\GitHub\Breakout\source\\phaser.js
5,6,5,Low,Phaser.Group.prototype.callAllExists,d:\Development\GitHub\Breakout\source\\phaser.js
10,10,10,Low,Phaser.Group.prototype.callbackFromArray,d:\Development\GitHub\Breakout\source\\phaser.js
10,13,10,Low,Phaser.Group.prototype.callAll,d:\Development\GitHub\Breakout\source\\phaser.js
4,5,4,Low,Phaser.Group.prototype.preUpdate,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,Phaser.Group.prototype.update,d:\Development\GitHub\Breakout\source\\phaser.js
3,3,3,Low,Phaser.Group.prototype.postUpdate,d:\Development\GitHub\Breakout\source\\phaser.js
4,6,4,Low,Phaser.Group.prototype.filter,d:\Development\GitHub\Breakout\source\\phaser.js
8,12,8,Low,Phaser.Group.prototype.forEach,d:\Development\GitHub\Breakout\source\\phaser.js
3,3,3,Low,Phaser.Group.prototype.forEachExists,d:\Development\GitHub\Breakout\source\\phaser.js
3,3,3,Low,Phaser.Group.prototype.forEachAlive,d:\Development\GitHub\Breakout\source\\phaser.js
3,3,3,Low,Phaser.Group.prototype.forEachDead,d:\Development\GitHub\Breakout\source\\phaser.js
5,5,5,Low,Phaser.Group.prototype.sort,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,Phaser.Group.prototype.customSort,d:\Development\GitHub\Breakout\source\\phaser.js
4,4,4,Low,Phaser.Group.prototype.ascendingSortHandler,d:\Development\GitHub\Breakout\source\\phaser.js
3,3,3,Low,Phaser.Group.prototype.descendingSortHandler,d:\Development\GitHub\Breakout\source\\phaser.js
8,9,8,Low,Phaser.Group.prototype.iterate,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,Phaser.Group.prototype.getFirstExists,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Phaser.Group.prototype.getFirstAlive,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Phaser.Group.prototype.getFirstDead,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,Phaser.Group.prototype.getTop,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,Phaser.Group.prototype.getBottom,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Phaser.Group.prototype.countLiving,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Phaser.Group.prototype.countDead,d:\Development\GitHub\Breakout\source\\phaser.js
2,4,2,Low,Phaser.Group.prototype.getRandom,d:\Development\GitHub\Breakout\source\\phaser.js
7,11,7,Low,Phaser.Group.prototype.remove,d:\Development\GitHub\Breakout\source\\phaser.js
4,5,4,Low,Phaser.Group.prototype.moveAll,d:\Development\GitHub\Breakout\source\\phaser.js
7,9,7,Low,Phaser.Group.prototype.removeAll,d:\Development\GitHub\Breakout\source\\phaser.js
10,14,10,Low,Phaser.Group.prototype.removeBetween,d:\Development\GitHub\Breakout\source\\phaser.js
6,7,6,Low,Phaser.Group.prototype.destroy,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\phaser.js
