                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2013 University of Southern California                    

                                   CYCLOMATIC COMPLEXITY RESULTS                                   
                              Generated by UCC v.2014.08f on 12 1 2015                              
ucc.exe -dir d:\Development\GitHub\Breakout\source\ -extfile JavaScript -outdir d:\Metriken\count_out_6\

                                          RESULTS BY FILE                                          

Cyclomatic Complexity
Total(CC1),Total(CC2),Total(CC3),Average(CC1),Risk,File Name
2,3,2,Low,Line.lineInt,d:\Development\GitHub\Breakout\source\\phaser.js
2,5,2,Low,Line.segmentsIntersect,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Point,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Point.area,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Point.left,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Point.leftOn,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Point.right,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Point.rightOn,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,Point.collinear,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Point.sqdist,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Polygon,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,Polygon.prototype.at,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Polygon.prototype.first,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Polygon.prototype.last,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Polygon.prototype.clear,d:\Development\GitHub\Breakout\source\\phaser.js
7,7,7,Low,Polygon.prototype.append,d:\Development\GitHub\Breakout\source\\phaser.js
4,6,4,Low,Polygon.prototype.makeCCW,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,Polygon.prototype.reverse,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Polygon.prototype.isReflex,d:\Development\GitHub\Breakout\source\\phaser.js
6,9,6,Low,Polygon.prototype.canSee,d:\Development\GitHub\Breakout\source\\phaser.js
5,6,5,Low,Polygon.prototype.copy,d:\Development\GitHub\Breakout\source\\phaser.js
7,7,7,Low,Polygon.prototype.getCutEdges,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,Polygon.prototype.decomp,d:\Development\GitHub\Breakout\source\\phaser.js
7,12,7,Low,Polygon.prototype.slice,d:\Development\GitHub\Breakout\source\\phaser.js
6,6,6,Low,Polygon.prototype.isSimple,d:\Development\GitHub\Breakout\source\\phaser.js
2,3,2,Low,getIntersectionPoint,d:\Development\GitHub\Breakout\source\\phaser.js
26,34,26,High,Polygon.prototype.quickDecomp,d:\Development\GitHub\Breakout\source\\phaser.js
3,4,3,Low,Polygon.prototype.removeCollinearPoints,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Scalar,d:\Development\GitHub\Breakout\source\\phaser.js
1,2,1,Low,Scalar.eq,d:\Development\GitHub\Breakout\source\\phaser.js
3,5,3,Low,AABB,d:\Development\GitHub\Breakout\source\\phaser.js
10,10,10,Low,AABB.prototype.setFromPoints,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,AABB.prototype.copy,d:\Development\GitHub\Breakout\source\\phaser.js
4,4,4,Low,AABB.prototype.extend,d:\Development\GitHub\Breakout\source\\phaser.js
1,8,1,Low,AABB.prototype.overlaps,d:\Development\GitHub\Breakout\source\\phaser.js
1,4,1,Low,AABB.prototype.containsPoint,d:\Development\GitHub\Breakout\source\\phaser.js
3,3,3,Low,AABB.prototype.overlapsRay,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Broadphase,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Broadphase.prototype.setWorld,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Broadphase.prototype.getCollisionPairs,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Broadphase.boundingRadiusCheck,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Broadphase.aabbCheck,d:\Development\GitHub\Breakout\source\\phaser.js
3,3,2,Low,Broadphase.prototype.boundingVolumeCheck,d:\Development\GitHub\Breakout\source\\phaser.js
6,15,6,Low,Broadphase.canCollide,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,NaiveBroadphase,d:\Development\GitHub\Breakout\source\\phaser.js
4,5,4,Low,NaiveBroadphase.prototype.getCollisionPairs,d:\Development\GitHub\Breakout\source\\phaser.js
4,5,4,Low,NaiveBroadphase.prototype.aabbQuery,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Narrowphase,d:\Development\GitHub\Breakout\source\\phaser.js
4,4,4,Low,Narrowphase.prototype.bodiesOverlap,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Narrowphase.prototype.collidedLastStep,d:\Development\GitHub\Breakout\source\\phaser.js
4,4,4,Low,Narrowphase.prototype.reset,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Narrowphase.prototype.createContactEquation,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Narrowphase.prototype.createFrictionEquation,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Narrowphase.prototype.createFrictionFromContact,d:\Development\GitHub\Breakout\source\\phaser.js
3,3,3,Low,Narrowphase.prototype.createFrictionFromAverage,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,Narrowphase.prototype.convexLine,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,Narrowphase.prototype.lineBox,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,setConvexToCapsuleShapeMiddle,d:\Development\GitHub\Breakout\source\\phaser.js
2,4,2,Low,Narrowphase.prototype.convexCapsule,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,Narrowphase.prototype.lineCapsule,d:\Development\GitHub\Breakout\source\\phaser.js
14,18,14,Medium,Narrowphase.prototype.capsuleCapsule,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,Narrowphase.prototype.lineLine,d:\Development\GitHub\Breakout\source\\phaser.js
9,10,9,Low,Narrowphase.prototype.planeLine,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Narrowphase.prototype.particleCapsule,d:\Development\GitHub\Breakout\source\\phaser.js
10,12,10,Low,Narrowphase.prototype.circleLine,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Narrowphase.prototype.circleCapsule,d:\Development\GitHub\Breakout\source\\phaser.js
13,13,13,Medium,Narrowphase.prototype.circleConvex,d:\Development\GitHub\Breakout\source\\phaser.js
4,4,4,Low,pointInConvex,d:\Development\GitHub\Breakout\source\\phaser.js
7,7,7,Low,Narrowphase.prototype.particleConvex,d:\Development\GitHub\Breakout\source\\phaser.js
4,6,4,Low,Narrowphase.prototype.circleCircle,d:\Development\GitHub\Breakout\source\\phaser.js
8,9,8,Low,Narrowphase.prototype.planeConvex,d:\Development\GitHub\Breakout\source\\phaser.js
4,5,4,Low,Narrowphase.prototype.particlePlane,d:\Development\GitHub\Breakout\source\\phaser.js
4,4,4,Low,Narrowphase.prototype.circleParticle,d:\Development\GitHub\Breakout\source\\phaser.js
6,7,6,Low,Narrowphase.prototype.planeCapsule,d:\Development\GitHub\Breakout\source\\phaser.js
4,5,4,Low,Narrowphase.prototype.circlePlane,d:\Development\GitHub\Breakout\source\\phaser.js
16,21,16,Medium,Narrowphase.prototype.convexConvex,d:\Development\GitHub\Breakout\source\\phaser.js
5,7,5,Low,Narrowphase.projectConvexOntoAxis,d:\Development\GitHub\Breakout\source\\phaser.js
15,18,15,Medium,Narrowphase.findSeparatingAxis,d:\Development\GitHub\Breakout\source\\phaser.js
4,5,4,Low,Narrowphase.getClosestEdge,d:\Development\GitHub\Breakout\source\\phaser.js
18,21,18,Medium,Narrowphase.prototype.circleHeightfield,d:\Development\GitHub\Breakout\source\\phaser.js
9,9,9,Low,convexHeightfield_tilePos,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Ray,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Ray.prototype.update,d:\Development\GitHub\Breakout\source\\phaser.js
3,5,3,Low,Ray.prototype.intersectBodies,d:\Development\GitHub\Breakout\source\\phaser.js
6,9,6,Low,Ray.prototype.intersectBody,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,Ray.prototype.intersectShape,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Ray.prototype.getAABB,d:\Development\GitHub\Breakout\source\\phaser.js
6,8,4,Low,Ray.prototype.reportIntersection,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,distanceFromIntersectionSquared,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,RaycastResult,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,RaycastResult.prototype.reset,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,RaycastResult.prototype.getHitDistance,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,RaycastResult.prototype.hasHit,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,RaycastResult.prototype.getHitPoint,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,RaycastResult.prototype.stop,d:\Development\GitHub\Breakout\source\\phaser.js
1,3,1,Low,RaycastResult.prototype.shouldStop,d:\Development\GitHub\Breakout\source\\phaser.js
